[2014-07-20 22:08:55] EDIT PindarApp/controllers/default.py: 0
[2014-07-20 22:10:56] EDIT PindarApp/controllers/default.py: 0
[2014-07-20 22:11:19] EDIT PindarApp/views/default/index.html: -1
[2014-07-20 22:32:57] EDIT PindarApp/controllers/default.py: 5
[2014-07-20 22:34:42] EDIT PindarApp/controllers/default.py: -7
[2014-07-20 23:03:01] EDIT PindarApp/views/default/index.html: 1
[2014-07-20 23:03:51] EDIT PindarApp/views/default/index.html: 0
[2014-07-20 23:04:36] EDIT PindarApp/controllers/default.py: 0
[2014-07-20 23:05:36] EDIT PindarApp/views/default/quote_form.html: 0
[2014-07-20 23:06:00] EDIT PindarApp/views/default/quote_form.html: -2
[2014-07-20 23:06:07] EDIT PindarApp/views/default/quote_form.html: -1
[2014-07-20 23:06:59] EDIT PindarApp/views/default/quote_form.html: -3
[2014-07-20 23:08:13] EDIT PindarApp/views/default/index.html: 1
[2014-07-20 23:08:31] EDIT PindarApp/views/default/index.html: -1
[2014-07-20 23:09:13] EDIT PindarApp/views/default/index.html: 1
[2014-07-20 23:10:06] EDIT PindarApp/views/default/index.html: 0
[2014-07-20 23:10:48] EDIT PindarApp/views/default/index.html: 0
[2014-07-20 23:13:39] EDIT PindarApp/views/default/index.html: 1
[2014-07-20 23:14:26] EDIT PindarApp/views/default/quote_form.html: -1
[2014-07-20 23:18:20] EDIT PindarApp/views/default/quote_form.html: 0
[2014-07-27 15:16:11] EDIT PindarApp/ABOUT: -1
